doc-number,Caption,Committees,Sponsors,links
HB 266,"Medical Freedom Act; enact
Status: 02/09/2023 - House Second Readers",House Committee:Public Health,"Byrd, Charlice , 20thMathiak, Karen , 74thDunahoo, Emory , 31stClark, David , 100thBonner, Josh , 73rdHorner, Mitchell , 3rd",https://www.legis.ga.gov/legislation/64068
HB 267,"Income tax; failure of employers to comply with revenue provisions regarding employees; authorize private causes of action for equitable relief
Status: 02/16/2024 - House Committee Favorably Reported By Substitute",House Committee:Judiciary,"Smith, Tyler Paul , 18thCorbett, John , 174thRhodes, Trey , 124thHitchens, Bill , 161stEvans, Stacey , 57thWerkheiser, Bill , 157th",https://www.legis.ga.gov/legislation/64069
HB 268,"Criminal Justice Coordinating Council; establish grant program for motor vehicle related crime prevention initiatives; establish Georgia Motor Vehicle Crime Prevention Advisory Board
Status: 04/26/2023 - House Date Signed by Governor",House Committee:Public Safety and Homeland SecuritySenate Committee:Public Safety,"Corbett, John , 174thPowell, Alan , 33rdRidley, Jason , 6thMathis, Danny , 149thBarton, Matt , 5th",https://www.legis.ga.gov/legislation/64070
HB 269,"Workforce Innovation and Opportunity Act; authorize local workforce development boards to conduct meetings via teleconference
Status: 02/08/2024 - Senate Committee Favorably Reported",House Committee:Governmental AffairsSenate Committee:Government Oversight,"Blackmon, Shaw , 146thDouglas, Demetrius , 78thGaines, Houston , 120thOliver, Mary Margaret , 82ndRoberts, Shea , 52ndGambill, Matthew , 15th",https://www.legis.ga.gov/legislation/64071
HB 270,"College Park, City of; ad valorem tax; municipal purposes; provide homestead exemption
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Schofield, Kim , 63rdBruce, Roger , 61stMiller, Tanya F. , 62ndBazemore, Debra , 69th",https://www.legis.ga.gov/legislation/64072
HB 271,"Motor vehicles; insurance of motor carriers; repeal certain provisions
Status: 02/09/2023 - House Second Readers",House Committee:Judiciary,"Pirkle, Clay , 169thCorbett, John , 174thLumsden, Eddie , 12thJasperse, Rick , 11thWilliams, Jr., Noel , 148thPowell, Alan , 33rd",https://www.legis.ga.gov/legislation/64073
HB 272,"Carrollton, City of; Municipal Court; charge technology fee
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Huddleston, David , 72ndCollins, J , 71stSmith, Tyler Paul , 18thSmith, Lynn , 70th",https://www.legis.ga.gov/legislation/64074
HB 273,"Board of Natural Resources; extend date by which rules and regulations must be in effect for purposes of establishing criminal violations
Status: 03/27/2023 - House Agreed Senate Amend or Sub As Amended",House Committee:Natural Resources & EnvironmentSenate Committee:Natural Resources and the Environment,"DeLoach, Buddy , 167thTownsend, Rick , 179thWilliams, Al , 168thPetrea, Jesse , 166th",https://www.legis.ga.gov/legislation/64075
HB 274,"State holidays; June 12 as Women Veterans Day; designate
Status: 02/09/2023 - House Second Readers",House Committee:Defense & Veterans Affairs,"Jones, Sheila , 60thScott, Sandra , 76thDavis, Viola , 87thGladney, Lynn , 130th",https://www.legis.ga.gov/legislation/64076
HB 275,"Torts; limit liability relating to employers and insurance providers of commercial vehicle operators based upon history of driving incidents
Status: 02/09/2023 - House Second Readers",House Committee:Judiciary,"Powell, Alan , 33rdCorbett, John , 174thJasperse, Rick , 11thPirkle, Clay , 169thDunahoo, Emory , 31st",https://www.legis.ga.gov/legislation/64077
HB 276,"Education; tuition equalization grants at private colleges and universities; expand definition of approved school
Status: 02/09/2023 - House Second Readers",House Committee:Higher Education,"Scoggins, Mitchell , 14thGunter, Stan , 8thYearta, Bill , 152ndKelley, Trey , 16thOliver, Mary Margaret , 82ndGambill, Matthew , 15th",https://www.legis.ga.gov/legislation/64078
HB 277,"Income tax; compensation to a taxpayer for governmental condemnation of such taxpayer's real property shall not be subject to tax; provide
Status: 02/09/2023 - House Second Readers",House Committee:Ways & Means,"Scoggins, Mitchell , 14thGullett, Joseph , 19thKelley, Trey , 16thSmith, Tyler Paul , 18thFleming, Tim , 114thYearta, Bill , 152nd",https://www.legis.ga.gov/legislation/64079
HB 278,"Professions and businesses; athletic trainers; revise and update definitions
Status: 02/09/2023 - House Second Readers",House Committee:Health,"LaHood, John , 175thBuckner, Debbie , 137thPowell, Alan , 33rdCorbett, John , 174th",https://www.legis.ga.gov/legislation/64080
HB 279,"Insurance; discount for property owners who build a new property that better resists tornado, hurricane, or other catastrophic windstorm events; provide
Status: 04/23/2024 - House Date Signed by Governor",House Committee:InsuranceSenate Committee:Insurance and Labor,"Gambill, Matthew , 15thFrye, Spencer , 122ndWiedower, Marcus , 121stWashburn, Dale , 144thGullett, Joseph , 19th",https://www.legis.ga.gov/legislation/64081
HB 280,"Insurance; additional value-added products or services that are excluded from being unfair trade practices and unlawful inducements; provide
Status: 01/08/2024 - Senate Recommitted",House Committee:InsuranceSenate Committee:Insurance and Labor,"Gambill, Matthew , 15thLumsden, Eddie , 12thWilliams, Jr., Noel , 148thTaylor, Darlene , 173rdSmith, Tyler Paul , 18th",https://www.legis.ga.gov/legislation/64082
HB 281,"Local government; report audits of discretionary funds to General Assembly; require
Status: 02/09/2023 - House Second Readers",House Committee:Governmental Affairs,"Mainor, Mesha , 56thThomas, Mandisha A. , 65thLim, Marvin , 98th",https://www.legis.ga.gov/legislation/64083
HB 282,"Quality Basic Education Act; minimum course study in career readiness education for students in grades six through twelve; provide
Status: 03/28/2024 - Senate Passed/Adopted By Substitute",House Committee:Industry and LaborSenate Committee:Education and Youth,"Mainor, Mesha , 56thWerkheiser, Bill , 157thWilkerson, David , 38thSmith, Michael , 41stLim, Marvin , 98th",https://www.legis.ga.gov/legislation/64084
HB 283,"Sales and use tax; change manner and method of imposing and collecting taxes on new manufactured single-family structures
Status: 03/20/2024 - Senate Read Second Time",House Committee:Ways & MeansSenate Committee:Finance,"Camp, Beth , 135thJasperse, Rick , 11thBonner, Josh , 73rdCorbett, John , 174thSmith, Tyler Paul , 18thFrye, Spencer , 122nd",https://www.legis.ga.gov/legislation/64085
HB 284,"Insurance; health care sharing ministry; change definition; provisions
Status: 02/26/2024 - House Committee Favorably Reported",House Committee:Ways & Means,"Camp, Beth , 135thKnight, David , 134thCameron, Mike , 1stMathiak, Karen , 74thGreene, Gerald , 154thBuckner, Debbie , 137th",https://www.legis.ga.gov/legislation/64086
HB 285,"Employees' Retirement System of Georgia; total percentage of funds invested in alternative investments; raise limit
Status: 03/26/2024 - House Agreed Senate Amend or Sub As Amended",House Committee:RetirementSenate Committee:Retirement,"Franklin, Lehman , 160thCarson, John , 46thMartin, Chuck , 49thWilliams, Jr., Noel , 148thRhodes, Trey , 124thYearta, Bill , 152nd",https://www.legis.ga.gov/legislation/64087
HB 286,"Surprise Billing Consumer Protection Act; certain consumer protections against surprise billing for ambulance service; provide
Status: 02/09/2023 - House Second Readers",House Committee:Insurance,"Au, Michelle , 50thBruce, Roger , 61stOliver, Mary Margaret , 82ndGilliard, Carl , 162ndAnulewicz, Teri , 42nd",https://www.legis.ga.gov/legislation/64092
HB 287,"Microenterprise Home Kitchen Operations Act; enact
Status: 02/09/2023 - House Second Readers",House Committee:Agriculture & Consumer Affairs,"Thomas, Mandisha A. , 65thSchofield, Kim , 63rdMarin, Pedro ""Pete"" , 96th",https://www.legis.ga.gov/legislation/64096
HB 288,"East Georgia Regional Airport Authority Act; enact
Status: 05/01/2023 - House Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Parrish, Butch , 158th",https://www.legis.ga.gov/legislation/64119
HB 289,"Administrative Services, Department of; define certain terms; create Division of Supplier Diversity
Status: 02/13/2023 - House Second Readers",House Committee:Governmental Affairs,"Bruce, Roger , 61stBeverly, James , 143rdMcClain, Dewey , 109thMarin, Pedro ""Pete"" , 96thBazemore, Debra , 69thFrazier, Gloria , 126th",https://www.legis.ga.gov/legislation/64120
HB 290,"Revenue and taxation; county tax commissioner duties; revise provisions
Status: 01/12/2024 - Senate Committee Favorably Reported  By Substitute",House Committee:Ways & MeansSenate Committee:Finance,"Scoggins, Mitchell , 14thSmith, Tyler Paul , 18thGambill, Matthew , 15thReeves, Matt , 99thSeabaugh, Devan , 34thKelley, Trey , 16th",https://www.legis.ga.gov/legislation/64121
HB 291,"Guardian and ward; add to the list of providers who are authorized to participate in the processes for appointment of a guardian for an adult
Status: 01/08/2024 - Senate Recommitted",House Committee:Juvenile JusticeSenate Committee:Children and Families,"Scoggins, Mitchell , 14thSmith, Tyler Paul , 18thOliver, Mary Margaret , 82nd",https://www.legis.ga.gov/legislation/64122
HB 292,"Property; nonjudicial foreclosure of time-share estates; revise procedures
Status: 03/29/2023 - House Withdrawn, Recommitted",House Committee:Judiciary,"Reeves, Matt , 99thSilcox, Deborah , 53rdHilton, Scott , 48thKelley, Trey , 16thStoner, Doug , 40th",https://www.legis.ga.gov/legislation/64129
HB 293,"Crimes and offenses; protections against infringements on the right to keep and bear arms; provide
Status: 02/13/2023 - House Second Readers",House Committee:Judiciary Non-Civil,"Byrd, Charlice , 20thDunahoo, Emory , 31stClark, David , 100thBonner, Josh , 73rdHorner, Mitchell , 3rdScoggins, Mitchell , 14th",https://www.legis.ga.gov/legislation/64130
HB 294,"Insurance; administration of certain rehabilitation policies by a ceding insurer placed into liquidation; provisions
Status: 05/01/2023 - House Date Signed by Governor",House Committee:InsuranceSenate Committee:Insurance and Labor,"DeLoach, Buddy , 167thLumsden, Eddie , 12thWilliams, Jr., Noel , 148thTaylor, Darlene , 173rd",https://www.legis.ga.gov/legislation/64131
HB 295,"Insurance; consumer protections against surprise billing; revise certain procedures
Status: 05/02/2023 - House Date Signed by Governor",House Committee:InsuranceSenate Committee:Insurance and Labor,"Hawkins, Lee , 27thBennett, Karen , 94thNewton, Mark , 127thCooper, Sharon , 45thJones, Jan , 47thSilcox, Deborah , 53rd",https://www.legis.ga.gov/legislation/64132
HB 296,"Georgia Peace Officer Standards and Training Council; establish basic and in-service training courses on de-escalation techniques and methods
Status: 02/13/2023 - House Second Readers",House Committee:Public Safety and Homeland Security,"Neal, Yasmin , 79thVance, Ken , 133rdGilliard, Carl , 162ndHolcomb, Scott , 81stHitchens, Bill , 161stWerkheiser, Bill , 157th",https://www.legis.ga.gov/legislation/64134
HB 297,"Education; minimum base salary for certificated professional personnel with bachelor's degree and no experience; revise
Status: 02/13/2023 - House Second Readers",House Committee:Education,"Neal, Yasmin , 79th",https://www.legis.ga.gov/legislation/64135
HB 298,"Courts; exemption or deferment from jury service for natural or adoptive mothers of children six months of age or younger; provide
Status: 03/21/2024 - Senate Committee Favorably Reported  By Substitute",House Committee:JudiciarySenate Committee:Education and Youth,"Daniel, Lauren , 117thHilton, Scott , 48thGunter, Stan , 8thOliver, Mary Margaret , 82ndSilcox, Deborah , 53rdLeverett, Rob , 123rd",https://www.legis.ga.gov/legislation/64136
HB 299,"Georgia Code; add appropriate references to United States Space Force; provisions
Status: 04/22/2024 - House Date Signed by Governor","House Committee:Defense & Veterans AffairsSenate Committee:Veterans, Military, and Homeland Security","Thomas, Brad , 21stBonner, Josh , 73rdClark, David , 100thBallard, Bethany , 147thTarvin, Steve , 2ndPrince, Brian , 132nd",https://www.legis.ga.gov/legislation/64137
HB 300,"Solar Technology Trust Fund; fund within state treasury; establish
Status: 04/22/2024 - House Date Signed by Governor","House Committee:Energy, Utilities & TelecommunicationsSenate Committee:Regulated Industries and Utilities","Kelley, Trey , 16thWilliamson, Bruce , 112thStephens, Ron , 164thBlackmon, Shaw , 146th",https://www.legis.ga.gov/legislation/64138
HB 301,"Motor vehicles and traffic; revise amount of civil monetary penalty for violations of improperly passing a school bus or speeding in a school zone
Status: 03/21/2024 - Senate Passed/Adopted By Substitute",House Committee:Motor VehiclesSenate Committee:Public Safety,"Ridley, Jason , 6thSmith, Tyler Paul , 18thCollins, J , 71stRhodes, Trey , 124thBurchett, James , 176thWilliams, Jr., Noel , 148th",https://www.legis.ga.gov/legislation/64139
HB 302,"Crimes and offenses; issuance of a temporary or permanent protective order by the court; provide
Status: 05/02/2023 - House Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Franklin, Lehman , 160thSmith, Tyler Paul , 18thHitchens, Bill , 161stMiller, Tanya F. , 62ndSilcox, Deborah , 53rd",https://www.legis.ga.gov/legislation/64140
HB 303,"Property; protections for homeowners, condominium owners, and property owners in community associations; provide
Status: 02/13/2023 - House Second Readers",House Committee:Governmental Affairs,"Davis, Viola , 87thBeverly, James , 143rdScott, Sandra , 76thSchofield, Kim , 63rdTaylor, Rhonda , 92ndMitchell, Billy , 88th",https://www.legis.ga.gov/legislation/64141
HB 304,"Uniform Residential Landlord and Tenant Act; enact
Status: 02/13/2023 - House Second Readers",House Committee:Judiciary,"Neal, Yasmin , 79th",https://www.legis.ga.gov/legislation/64142
HB 305,"Georgia Farmers' Market Authority Act; enact
Status: 03/01/2023 - House Withdrawn, Recommitted",House Committee:Agriculture & Consumer Affairs,"Dickey, Robert , 145thHouston, Penny , 170thGilliard, Carl , 162ndCarpenter, Kasey , 4thMughal, Farooq , 105thWillis, Inga , 55th",https://www.legis.ga.gov/legislation/64151
